Tabela visualização
"Questão","Visão de CS","SalaryFit","eConsig","MOVA","ECS","Menu de Produtos","DigitalPass","PagueVeloz"
"CONTEXTO ATUAL DA SOLUÇÃO","","","","","","","",""
"Solução de autenticação utilizada na BU.","SMS e Device","Solução interna, com fornecimento da Zenvia","Reconhecimento facial pela Serpro, demanda de implementação de SMS e e-mail","Solução interna desenvolvida pela própria BU","Solução desenvolvida pela própria BU","Solução desenvolvida pela própria BU","Solução de DigitalPass e OAuth","Utilizam motor próprio."
"Processo de autenticação.","MFA com pouca margem de configuração, se precisa modificar tempo de SMS, precisa solicitar suporte, acessar o Sentinel. Customização igual ao Device","SMS, OTP, e-mail, seguindo das soluções da AllowMe: Liveness, documentoscopia e Device","CPF e senha, matrícula e senha, integração OAF, reconhecimento facial, várias formas pois trabalham com consignados","CPF com senha, autenticação via SMS, Ligação e Whatsapp","Plataforma Cross que afunila a um único processo de autenticação para todos os serviçoes de ECS. SMS e Whatsapp","Login necessita do contrato de algum serviço. Em soluções internas, Okta e login corporativo.","Endpoints do DigitalPass, só implementa a minha camada por cima consumindo os mesmos.","Jornada mobile, login com informações, OTP como validação. Após há validação de identidade, documentoscopia, Liveness, Device (AllowMe)"
"Desafios enfrentados.","Não recebimento de SMS, e-mail indo para SPAM, OTP com desincronização de hora","Em nível técnico, tudo está fluindo bem. Houve tentativas de fraude no ano passado, mas resolvido com mudanças de regras","MFA deve garantir que vazamentos não deixe fraudadores invadirem o produto","Casos comuns para soluções com autenticação multifatorial","Dimimuir o nível de fricção do usuário","Experiência com B2B ruim devido necessidade de email ou número. Facilidade em interceptar token, ao contrário de biometria ou validação facial","Baixo valor para fraudes, portanto, quase nenhum desafio.","Pós implementação, principalmente com suporte e comunicação."
"PERCEPÇÕES SOBRE AUTENTICAÇÃO MULTIFATOR","","","","","","","",""
"Conhecimento sobre o produto MFA Serasa.","Sim, mas precisa de melhorias","Sim","Sim, topam conversar sobre","Não havia o conhecimento","Sim","Sim","Não havia o conhecimento","Sim"
"Importância do MFA para a BU.","Obrigatoriedade. Se orquestrada pelo SDK, seria um produto mais utilizado.","Ferramenta essencial em todo o produto","Importante, mas olham bastante o custo, já que utilizam apenas quando participam de licitação","Importante para o processo inicial de reconhecimento do usuário, mas ainda necessário outras soluções de prevenção a fraude, voltadas para jornada com maior nível de risco","Importante para o processo inicial de reconhecimento do usuário e camada de segurança por requerir desafio do usuário.","Importante para validação inicial do usuário no processo de entrada no menu.","Importante para validação inicial do usuário no processo de entrada ","Importante para validação inicial do usuário no processo de entrada "
"INTEGRAÇÃO, ESTRATÉGIAS E TENDÊNCIAS","","","","","","","",""
"Processo de integração de novas soluções na BU.","Trabalho de consultoria para adotar Device","Processo estruturado. Discovery, documentação e quebra para construção com time técnico","Pesquisa para conversar com o responsável, análise da documentação e conversa com o time técnico, levantamento de custos, contrato","Análise da solução se resolve o problema, requisitos de segurança, comitê de demandas","Motor antifraude para todos os produtos de ECS","Desenvolvimento, subida em produção e depois comunicação com o cliente para explicar nova feature.","Integração via API. Identificação da necessidade, discussão técnica, fórum com lideranças","Identificar problema, levantar possíveis ferramentas e conversar com o time técnico."
"Tendências acompanhadas.","IA","Práticas de segurança, acompanham a Owasp","Time responsável","Time de DevOps focado","Biometria Comportamental","Validação facial e biometria","Não há acompanhamento de tendências","Não há acompanhamento de tendências"
"ADOÇÃO, FEEDBACK E MÉTRICAS","","","","","","","",""
"Possibilidade de implementação.","Baixa, necessita melhorias","Baixa, pois acabaram de fechar contrato com a Zenvia","Alta","Baixa, visto que já possuem uma solução bem estabelecida","Já estão implementando","Média, necessita mais conversas","Média, necessita mais conversas","Média, necessita mais conversas"
"Custo de investimento da autenticação atual.","Sem previsão.","Sem previsão, dependente","Sem previsão, dependente","Sem previsão, dependente","Sem previsão, dependente","Sem previsão, dependente","Sem previsão, dependente","Sem previsão, dependente"
"Qual a quantidade de transações que envolvem a autenticação multifatorial?","","","","Não possuem, pendência no MFA.","","'= DigitalPass'","40 a 80 mil usuários por mês.","750 a 820 usuários por mês."
"Qual o quantitativo ou percentual de fraude em contexto que envolvem a autenticação multifatorial?","","","","","","'= DigitalPass'","Para usuários que tem autenticação multifatorial ativa, não há registro de fraudes, apenas para casos que não ativa e faz acesso apenas por senha (Não podemos falar de números por questões de confidencialidade, mas são poucos os casos de utilização indevida de conta).","Mensalmente,
em torno de 4 por cento dos clientes cadastrados no mês acabam bloqueados por
comportamento fraudulento, e a gente mantém até 5 por cento da base total
bloqueada por segurança. A trava de repasse existe para pegar comportamento
suspeito no pós transação, mas quando a gente aprofundou indicadores, viu que
mais ou menos 80 por cento do que cai ali seria transação idônea, então o processo existe muito por falta de ferramenta melhor e ainda é moroso, por isso
o time está buscando soluções mais inteligentes para esse cenário."
"Qual custo unitário da solução de autenticação multifatorial?","","","","hoje não temos custo porque utilizamos restrição de IP que não tem custo; certificado digital que o custo é da pessoa para emitir; e OTP que é via Google Auth e não gera custo.","","","","Em custo, eu sei que tem o custo do motor e, para aquele volume mensal, a gente tem uma média em torno de 6 reais por cliente para a análise da BRScan no onboarding, usando documentos e face matching, e eu não sei dizer se a Laumine
já entra nessa conta. Esse custo é por cliente que entra, e além disso tem custos adicionais ligados a transações e logins que eu ainda precisaria
levantar melhor."
